class,kind,abstract,NOA,NOM,CIS,DAM,WMC,RFC,CBO,DCC,MPC,DAC,MOA,LCOM,CAM,DIT,NOC,ANA,MFA,NOP,NOP_strict
org.jfree.chart.ChartColor,class,0,24,1,1,0.0,2,1,0,0,0,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.ChartFactory,class,1,1,40,40,1.0,162,102,82,15,230,1,1,778,0.1787,1,0,0,0.0,0,0
org.jfree.chart.ChartFrame,class,0,1,1,1,1.0,4,3,2,2,0,1,1,0,,1,0,0,0.0,0,0
org.jfree.chart.ChartMouseEvent,class,0,4,3,3,1.0,4,3,2,2,0,2,2,3,,1,0,0,0.0,0,0
org.jfree.chart.ChartMouseListener,interface,0,0,2,0,,2,2,1,1,0,0,0,1,1.0,1,0,0,0.0,0,0
org.jfree.chart.ChartPanel,class,0,79,109,95,0.7342,306,284,22,8,71,3,3,4800,0.0291,1,1,0,0.0,0,0
org.jfree.chart.ChartRenderingInfo,class,0,4,10,8,1.0,20,18,3,2,0,2,2,0,0.1,1,0,0,0.0,0,0
org.jfree.chart.ChartTheme,interface,0,0,1,1,,1,1,1,1,0,0,0,0,1.0,1,0,0,0.0,0,0
org.jfree.chart.ChartTransferable,class,0,8,4,3,0.875,14,12,1,1,2,1,1,0,0.3333,1,0,0,0.0,0,0
org.jfree.chart.ChartUtilities,class,1,0,27,27,,45,51,10,4,19,0,0,351,0.2901,1,0,0,0.0,0,0
org.jfree.chart.ClipPath,class,0,9,21,21,1.0,33,35,1,1,4,0,0,190,0.0833,1,0,0,0.0,0,0
org.jfree.chart.DrawableLegendItem,class,0,8,16,16,1.0,17,20,1,1,0,1,1,116,0.0938,1,0,0,0.0,0,0
org.jfree.chart.Effect3D,interface,0,0,2,2,,2,2,0,0,0,0,0,1,,1,0,0,0.0,0,0
org.jfree.chart.HashUtilities,class,0,0,13,13,,34,24,0,0,0,0,0,78,0.1608,1,0,0,0.0,0,0
org.jfree.chart.JFreeChart,class,0,22,67,61,0.7273,165,153,23,11,37,2,2,1867,0.0308,1,0,0,0.0,0,0
org.jfree.chart.JFreeChartInfo,class,0,0,1,1,,4,20,1,0,1,0,0,0,,1,0,0,0.0,0,0
org.jfree.chart.LegendItem,class,0,26,46,43,1.0,99,65,1,1,0,1,1,863,0.0342,1,0,0,0.0,0,0
org.jfree.chart.LegendItemCollection,class,0,2,7,7,1.0,11,15,1,1,0,0,0,0,0.1429,1,0,0,0.0,0,0
org.jfree.chart.LegendItemSource,interface,0,0,1,1,,1,1,1,0,0,0,0,0,,1,2,0,0.0,0,0
org.jfree.chart.LegendRenderingOrder,class,0,4,3,2,0.5,9,5,0,0,0,0,0,1,0.3333,1,0,0,0.0,0,0
org.jfree.chart.MouseWheelHandler,class,0,2,4,3,0.5,12,22,7,2,11,1,1,2,0.3333,1,0,0,0.0,0,0
org.jfree.chart.PaintMap,class,0,2,8,6,0.5,18,28,0,0,0,0,0,0,0.175,1,0,0,0.0,0,0
org.jfree.chart.PolarChartPanel,class,0,3,5,2,1.0,19,29,4,1,4,0,0,8,0.24,2,0,1,0.955,3,3
org.jfree.chart.StandardChartTheme,class,0,33,92,69,1.0,239,207,48,27,129,5,5,3310,0.0184,1,0,0,0.0,0,0
org.jfree.chart.StrokeMap,class,0,2,8,6,0.5,18,28,0,0,0,0,0,0,0.175,1,0,0,0.0,0,0
org.jfree.chart.annotations.AbstractAnnotation,class,1,2,10,6,1.0,15,20,3,2,0,0,0,19,0.1167,1,3,0,0.0,0,0
org.jfree.chart.annotations.AbstractXYAnnotation,class,1,2,8,7,1.0,17,13,7,3,2,0,0,12,0.1806,2,9,1,0.5556,1,1
org.jfree.chart.annotations.Annotation,interface,0,0,2,2,,2,2,1,1,0,0,0,1,1.0,1,2,0,0.0,0,0
org.jfree.chart.annotations.CategoryAnnotation,interface,0,0,1,1,,1,1,4,3,0,0,0,0,1.0,2,0,1,0.6667,0,0
org.jfree.chart.annotations.CategoryLineAnnotation,class,0,7,18,16,0.8571,37,48,9,3,18,0,0,57,0.0648,2,0,1,0.28,3,3
